CTY_CODE,CTY_NAME,GEN_VAL_MO,time,year,month,quarter,mom_change,rolling_3_month_avg,rolling_6_month_avg,historical_mean,historical_std,deviation_from_avg,high_disruption_risk
5200,UNITED ARAB EMIRATES,594074309,2021-12-01,2021,12,4,0.17086852580865775,549094460.0,576997400.5,390382876.8333333,157695887.41200736,1.291672443140436,0
5200,UNITED ARAB EMIRATES,436964011,2022-01-01,2022,1,1,-0.2644623671144143,512805832.3333333,538577357.0,392246122.2,154656453.52832764,0.2891433741031005,1
5200,UNITED ARAB EMIRATES,391119662,2022-02-01,2022,2,1,-0.10491561740996558,474052660.6666667,480235301.5,392202796.8076923,151531919.66569772,-0.007147898674298116,0
5200,UNITED ARAB EMIRATES,589542972,2022-03-01,2022,3,1,0.5073212351057923,472542215.0,510818337.5,399511692.1851852,153365936.5687631,1.2390709701669147,0
5200,UNITED ARAB EMIRATES,815279106,2022-04-01,2022,4,2,0.38290022054575523,598647246.6666666,555726539.5,414360528.39285713,169775205.74898732,2.361467187381302,0
5200,UNITED ARAB EMIRATES,586469183,2022-05-01,2022,5,2,-0.2806522592276516,663763753.6666666,568908207.1666666,420295309.5862069,169751679.45057085,0.9789232952018034,1
5200,UNITED ARAB EMIRATES,454947672,2022-06-01,2022,6,2,-0.22425988408669717,618898653.6666666,545720434.3333334,421450388.3333333,166919191.16019076,0.2006796428489739,1
5200,UNITED ARAB EMIRATES,766769756,2022-07-01,2022,7,3,0.6854020872976354,602728870.3333334,600688058.5,432589722.7741935,175442042.91920814,1.9047887704984028,0
5200,UNITED ARAB EMIRATES,659356085,2022-08-01,2022,8,3,-0.14008595169473537,627024504.3333334,645394129.0,439676171.59375,177183459.46314564,1.239844362853428,0
5200,UNITED ARAB EMIRATES,709755387,2022-09-01,2022,9,3,0.07643715307488219,711960409.3333334,665429531.5,447860390.24242425,180619223.33066133,1.449984071064917,0
5200,UNITED ARAB EMIRATES,582890820,2022-10-01,2022,10,4,-0.17874407059625463,650667430.6666666,626698150.5,451831873.4705882,179362732.91545463,0.7306921811410425,0
5200,UNITED ARAB EMIRATES,424317363,2022-11-01,2022,11,4,-0.2720465849848176,572321190.0,599672847.1666666,451045744.6,176766553.17937058,-0.15120723416990484,1
5200,UNITED ARAB EMIRATES,442195437,2022-12-01,2022,12,4,0.0421337318689925,483134540.0,597547474.6666666,450799902.7222222,174229261.04479152,-0.04938588197312127,0
5200,UNITED ARAB EMIRATES,490037764,2023-01-01,2023,1,1,0.10819271977245659,452183521.3333333,551425476.0,451860385.4594595,171913434.11330086,0.22207327040759028,0
5200,UNITED ARAB EMIRATES,487744449,2023-02-01,2023,2,1,-0.00467987401885217,473325883.3333333,522823536.6666667,452804702.92105263,169674252.12774098,0.20592249938218454,0
5200,UNITED ARAB EMIRATES,772737875,2023-03-01,2023,3,1,0.584308907224488,583506696.0,533320618.0,461008117.5897436,175089353.7310734,1.7804038381971203,0
5200,UNITED ARAB EMIRATES,555354088,2023-04-01,2023,4,2,-0.2813163351155785,605278804.0,528731162.6666667,463366766.85,173472627.050628,0.5302699492938069,1
5200,UNITED ARAB EMIRATES,691195874,2023-05-01,2023,5,2,0.2446039183563189,673095945.6666666,573210914.5,468923574.3414634,174946952.00784338,1.270512558850248,0
5200,UNITED ARAB EMIRATES,470950725,2023-06-01,2023,6,2,-0.3186436107111369,572500229.0,578003462.5,468971839.8333333,172800565.44705892,0.011451844278096182,1
5200,UNITED ARAB EMIRATES,407800039,2023-07-01,2023,7,3,-0.13409191800267428,523315546.0,564297175.0,467549239.81395346,170985687.11917555,-0.3494397795548161,0
5200,UNITED ARAB EMIRATES,496280407,2023-08-01,2023,8,3,0.21696998415441549,458343723.6666667,565719834.6666666,468202220.8863636,169041286.92343313,0.1661025340297742,0
5200,UNITED ARAB EMIRATES,567467088,2023-09-01,2023,9,3,0.14344044212891927,490515844.6666667,531508036.8333333,470408106.82222223,167763204.6226985,0.5785474913647758,0
5200,UNITED ARAB EMIRATES,651553293,2023-10-01,2023,10,4,0.14817811777658552,571766929.3333334,547541237.6666666,474346045.65217394,168024993.12272164,1.05464814522205,0
5200,UNITED ARAB EMIRATES,571876953,2023-11-01,2023,11,4,-0.12228675820689927,596965778.0,527654750.8333333,476421171.34042555,166796401.0873562,0.5722892162977871,0
5200,UNITED ARAB EMIRATES,457579595,2023-12-01,2023,12,4,-0.19986355001790046,560336613.6666666,525426229.1666667,476028638.5,165034839.78944767,-0.11178878062073068,0
5200,UNITED ARAB EMIRATES,472985062,2024-01-01,2024,1,1,0.033667294539215575,500813870.0,536290399.6666667,475966524.6938776,163307257.47378504,-0.018256767886486478,0
5200,UNITED ARAB EMIRATES,413531647,2024-02-01,2024,2,1,-0.12569829319472248,448032101.3333333,522498939.6666667,474717827.14,161873259.07451412,-0.37798818958624,0
5200,UNITED ARAB EMIRATES,501440437,2024-03-01,2024,3,1,0.2125805621836725,462652382.0,511494497.8333333,475241799.88235295,160290033.6343712,0.16344520319589756,0
5200,UNITED ARAB EMIRATES,574548526,2024-04-01,2024,4,2,0.14579615764015452,496506870.0,498660370.0,477151544.61538464,159307134.5767899,0.6113786532119668,0
5200,UNITED ARAB EMIRATES,572524382,2024-05-01,2024,5,2,-0.003523016609392582,549504448.3333334,498768274.8333333,478951032.1132075,158310872.07931733,0.5910734282349863,0
5200,UNITED ARAB EMIRATES,669011861,2024-06-01,2024,6,2,0.1685299037622472,605361589.6666666,534006985.8333333,482470677.0925926,158928929.61283347,1.1737396354574343,0
5200,UNITED ARAB EMIRATES,624578841,2024-07-01,2024,7,3,-0.06641589273706461,622038361.3333334,559272615.6666666,485054461.8909091,158612210.5857907,0.879657238202506,0
5200,UNITED ARAB EMIRATES,578747820,2024-08-01,2024,8,3,-0.07337908041620644,624112840.6666666,586808644.5,486727557.5714286,157661587.42031896,0.5836568306473369,0
5200,UNITED ARAB EMIRATES,651339299,2024-09-01,2024,9,3,0.125428513925115,618221986.6666666,611791788.1666666,489615482.8596491,157761479.497393,1.025115995714425,0
5200,UNITED ARAB EMIRATES,984028582,2024-10-01,2024,10,4,0.5107772301023095,738038567.0,680038464.1666666,498139846.63793105,169312131.70009366,2.869780980743509,0
5200,UNITED ARAB EMIRATES,712145737,2024-11-01,2024,11,4,-0.27629567877734673,782504539.3333334,703308690.0,501767065.11864406,170142858.7178951,1.2364825268991968,1
5200,UNITED ARAB EMIRATES,656134803,2024-12-01,2024,12,4,-0.07865094332510203,784103040.6666666,701162513.6666666,504339860.75,169867874.85080644,0.8936059415785371,0
5200,UNITED ARAB EMIRATES,654970198,2025-01-01,2025,1,1,-0.0017749477617635678,674416912.6666666,706227739.8333334,506809210.5409836,169546853.84782135,0.8738645636680461,0
5200,UNITED ARAB EMIRATES,448842231,2025-02-01,2025,2,1,-0.31471350548380217,586649077.3333334,684576808.3333334,505874259.2580645,168312458.91548985,-0.33884614737106566,1
5200,UNITED ARAB EMIRATES,885780997,2025-03-01,2025,3,1,0.9734796234002321,663197808.6666666,723650424.6666666,511904524.93650794,173675276.53906068,2.1527328443862004,0
5200,UNITED ARAB EMIRATES,664808681,2025-04-01,2025,4,2,-0.24946608331901254,666477303.0,670447107.8333334,514293652.375,173348290.45557198,0.8682810094604078,1
5200,UNITED ARAB EMIRATES,640685774,2025-05-01,2025,5,2,-0.036285487373171055,730425150.6666666,658537114.0,516238146.5538462,172701688.12995347,0.7205929993719011,0
5200,UNITED ARAB EMIRATES,551895969,2025-06-01,2025,6,2,-0.1385855728396429,619130141.3333334,641163975.0,516778416.59090906,171424264.1812966,0.20485753622340747,0
5200,UNITED ARAB EMIRATES,527271096,2025-07-01,2025,7,3,-0.044618686098792604,573284279.6666666,619880791.3333334,516935023.74626863,170125468.22009087,0.06075558446287196,0
5200,UNITED ARAB EMIRATES,553294891,2025-08-01,2025,8,3,0.04935562597195742,544153985.3333334,637289568.0,517469727.6764706,168908663.1232557,0.2120978442496295,0
5200,UNITED ARAB EMIRATES,742142281,2025-09-01,2025,9,3,0.3413141763494072,607569422.6666666,613349782.0,520725851.6376812,169829730.41204682,1.3037554074019346,0
5200,UNITED ARAB EMIRATES,729013945,2025-10-01,2025,10,4,-0.017689783126640157,674817039.0,624050659.3333334,523701395.82857144,170422726.67619187,1.2047251747211414,0
5200,UNITED ARAB EMIRATES,568914881,2025-11-01,2025,11,4,-0.21961042734237413,680023702.3333334,612088843.8333334,524338205.47887325,169286104.60368472,0.26332152674600845,1
